PRODUCT_ID,SALE_DATE,SALE_UNITS,SALE_PRICE,ACTIVE_STORES
5955,2017-01-08,72.0,8.2975,6.0
16391,2017-01-08,14.0,13.855714285714287,4.0
16392,2017-01-08,6.0,13.876666666666665,3.0
52966,2017-01-08,96.0,8.838541666666666,8.0
16397,2017-01-08,11.001,18.837378420143622,5.0
52964,2017-01-08,8.0,11.7525,4.0
16398,2017-01-08,9.999,18.84188418841884,4.0
16399,2017-01-08,15.998999999999999,18.840552534533412,5.0
52946,2017-01-08,20.0,9.857999999999999,4.0
16401,2017-01-08,48.0,7.706458333333333,4.0
52934,2017-01-08,852.0,9.944213615023473,26.0
16405,2017-01-08,69.0,7.7107246376811585,11.0
52968,2017-01-08,96.0,4.015833333333333,8.0
16406,2017-01-08,63.0,8.806031746031746,9.0
16407,2017-01-08,2.0,13.95,1.0
16416,2017-01-08,5.0009999999999994,18.836232753449313,4.0
52920,2017-01-08,20.0,9.815,4.0
16480,2017-01-08,3.0,4.883333333333334,1.0
52916,2017-01-08,24.0048,4.300806505365594,6.0
16517,2017-01-08,81.0,7.526913580246913,12.0
52909,2017-01-08,60.0,4.281999999999999,7.0
17221,2017-01-08,48.0,5.815625,3.0
52905,2017-01-08,60.0,4.282,7.0
17222,2017-01-08,84.0,6.755952380952381,7.0
17224,2017-01-08,40.0,12.775,5.0
52921,2017-01-08,4.0,9.815,2.0
16390,2017-01-08,12.0,9.815,3.0
16387,2017-01-08,123.0,7.475934959349593,15.0
52970,2017-01-08,36.0,4.0,3.0
53090,2017-01-08,60.0,4.2908333333333335,4.0
5982,2017-01-08,12.0,8.2975,1.0
53089,2017-01-08,9.0,7.623333333333333,3.0
5996,2017-01-08,6.0,4.291666666666667,1.0
6002,2017-01-08,702.0,20.365014245014244,34.0
53045,2017-01-08,15.0,8.806666666666668,5.0
6007,2017-01-08,96.0,7.152083333333334,4.0
6008,2017-01-08,912.0,7.700328947368421,27.0
53028,2017-01-08,21.0,7.623333333333333,3.0
53027,2017-01-08,9.0,7.623333333333333,3.0
6012,2017-01-08,156.0,11.436410256410255,8.0
53026,2017-01-08,9.0,7.623333333333333,3.0
53010,2017-01-08,8.0,11.7525,4.0
6057,2017-01-08,480.0,8.814333333333334,22.0
6092,2017-01-08,296.0,16.276655405405407,21.0
52996,2017-01-08,16.0,12.223125,5.0
